 snd	    473.81	   ACK	35638	0
fdrp	    473.87	  DATA	35000	638
fdrp	    473.93	  DATA	35000	638
fdrp	    473.98	  DATA	35000	638
 drp	    474.03	  DATA	35000	638
rdrp	    474.12	   ACK	35638	0
 drp	    474.15	  DATA	35000	638
rdrp	    474.20	   ACK	35638	0
 drp	    474.23	  DATA	35000	638
 snd	    474.25	   ACK	35638	0
fdrp	    474.29	  DATA	35000	638
fdrp	    474.32	  DATA	35000	638
fdrp	    474.34	  DATA	35000	638
fdrp	    474.37	  DATA	35000	638
 drp	    474.40	  DATA	35000	638
 snd	    474.42	   ACK	35638	0
 drp	    474.48	  DATA	35000	638
rdrp	    474.51	   ACK	35638	0
fdrp	    474.53	  DATA	35000	638
fdrp	    474.56	  DATA	35000	638
 drp	    474.59	  DATA	35000	638
 snd	    474.61	   ACK	35638	0
 drp	    474.64	  DATA	35000	638
rdrp	    474.67	   ACK	35638	0
 drp	    474.69	  DATA	35000	638
rdrp	    474.72	   ACK	35638	0
 drp	    474.75	  DATA	35000	638
rdrp	    474.77	   ACK	35638	0
fdrp	    474.79	  DATA	35000	638
fdrp	    474.82	  DATA	35000	638
 drp	    474.86	  DATA	35000	638
 snd	    474.88	   ACK	35638	0
fdrp	    474.91	  DATA	35000	638
fdrp	    474.94	  DATA	35000	638
 drp	    474.96	  DATA	35000	638
rdrp	    474.99	   ACK	35638	0
fdrp	    475.01	  DATA	35000	638
 drp	    475.03	  DATA	35000	638
rdrp	    475.06	   ACK	35638	0
fdrp	    475.08	  DATA	35000	638
fdrp	    475.10	  DATA	35000	638
 drp	    475.13	  DATA	35000	638
rdrp	    475.15	   ACK	35638	0
 drp	    475.18	  DATA	35000	638
rdrp	    475.20	   ACK	35638	0
 drp	    475.23	  DATA	35000	638
 snd	    475.25	   ACK	35638	0
fdrp	    475.28	  DATA	35000	638
fdrp	    475.31	  DATA	35000	638
fdrp	    475.33	  DATA	35000	638
 drp	    475.35	  DATA	35000	638
rdrp	    475.37	   ACK	35638	0
fdrp	    475.41	  DATA	35000	638
fdrp	    475.43	  DATA	35000	638
fdrp	    475.46	  DATA	35000	638
 drp	    475.48	  DATA	35000	638
rdrp	    475.51	   ACK	35638	0
 drp	    475.53	  DATA	35000	638
 snd	    475.55	   ACK	35638	0
 drp	    475.59	  DATA	35000	638
rdrp	    475.61	   ACK	35638	0
fdrp	    475.64	  DATA	35000	638
fdrp	    475.66	  DATA	35000	638
 drp	    475.69	  DATA	35000	638
 snd	    475.75	   ACK	35638	0
fdrp	    475.78	  DATA	35000	638
 drp	    475.80	  DATA	35000	638
 snd	    475.83	   ACK	35638	0
fdrp	    475.85	  DATA	35000	638
 drp	    475.88	  DATA	35000	638
 snd	    475.90	   ACK	35638	0
fdrp	    475.93	  DATA	35000	638
 drp	    475.95	  DATA	35000	638
rdrp	    475.98	   ACK	35638	0
fdrp	    476.00	   FIN	35638	0
fdrp	    881.92	   FIN	35638	0
fdrp	   1287.61	   FIN	35638	0
 rcv	   1288.21	 RESET	    0	0
Amount of (original) Data Received (in bytes): 34638
Number of (original) Data Segments Received: 35
Number of duplicate Data segments received: 145
Number of Data segments dropped: 359
Number of ACK segments dropped: 95
